"BLACKROAD OS - CONTRACT MANAGEMENT",,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from contract-management.gs",,,,,,,,,,,,,,
"Total Contracts:","=COUNTA(A6:A100)","Active:","=COUNTIF(K6:K100,""Fully Executed"")","Total Value:","=SUM(H6:H100)",,,,,,,,,
,,,,,,,,,,,,,,
"=== CONTRACTS ===",,,,,,,,,,,,,,
"Contract ID","Title","Type","Counterparty","Contact Email","Effective Date","Expiration Date","Value","Payment Terms","Auto-Renew","Signature Status","Owner","Doc Link","Created","Days to Expiry"
"CTR-2024-0001","[Contract Title]","Master Service Agreement (MSA)","[Company Name]","[email@company.com]","[Date]","[Date]","0","Annual","No","Draft","[Owner]","[Link]","[Date]","=G6-TODAY()"
"","","Software License","","","","","","Monthly","Yes","Internal Review","","","",""
"","","SaaS Subscription","","","","","","Quarterly","Evergreen","Sent for Signature","","","",""
"","","NDA","","","","","","One-Time","","Partially Signed","","","",""
"","","Employment","","","","","","Custom","","Fully Executed","","","",""
"","","Vendor/Supplier","","","","","","","","Expired","","","",""
"","","Customer","","","","","","","","Terminated","","","",""
,,,,,,,,,,,,,,
"=== SUMMARY BY STATUS ===",,,,,,,,,,,,,,
"Status","Count","Value",,,,,,,,,,,,
"Draft","=COUNTIF(K6:K100,A17)","=SUMIF(K6:K100,A17,H6:H100)",,,,,,,,,,,,
"Internal Review","=COUNTIF(K6:K100,A18)","=SUMIF(K6:K100,A18,H6:H100)",,,,,,,,,,,,
"Sent for Signature","=COUNTIF(K6:K100,A19)","=SUMIF(K6:K100,A19,H6:H100)",,,,,,,,,,,,
"Partially Signed","=COUNTIF(K6:K100,A20)","=SUMIF(K6:K100,A20,H6:H100)",,,,,,,,,,,,
"Fully Executed","=COUNTIF(K6:K100,A21)","=SUMIF(K6:K100,A21,H6:H100)",,,,,,,,,,,,
"Expired","=COUNTIF(K6:K100,A22)","=SUMIF(K6:K100,A22,H6:H100)",,,,,,,,,,,,
"Terminated","=COUNTIF(K6:K100,A23)","=SUMIF(K6:K100,A23,H6:H100)",,,,,,,,,,,,
,,,,,,,,,,,,,,
"=== RENEWAL ALERTS ===",,,,,,,,,,,,,,
"Contracts expiring in 60 days:","=COUNTIFS(K6:K100,""Fully Executed"",O6:O100,""<60"",O6:O100,"">0"")",,,,,,,,,,,,
"Contracts expiring in 30 days:","=COUNTIFS(K6:K100,""Fully Executed"",O6:O100,""<30"",O6:O100,"">0"")",,,,,,,,,,,,
"Contracts expired:","=COUNTIFS(K6:K100,""Fully Executed"",O6:O100,""<0"")",,,,,,,,,,,,
