"BLACKROAD OS - GOOGLE DRIVE ORGANIZER",,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from drive-organizer.gs",,,,,,,,,,
"Total Files:","=COUNTA(A7:A1000)","In Root:","=COUNTIF(F7:F1000,""Root"")","Total Size (MB):","=SUM(C7:C1000)/1024",,,,
"Organized:","=COUNTIF(H7:H1000,""✅ Moved"")","Archived:","=COUNTIF(H7:H1000,""📦 Archived"")","Duplicates:","=COUNTIF(H7:H1000,""⚠️ Duplicate"")",,,,
,,,,,,,,,,
"=== FILE INVENTORY ===",,,,,,,,,,
"File Name","Type","Size (KB)","Created","Modified","Folder","Category","Action","File ID","URL"
"[Run 'Scan My Drive' to populate]","","","","","","","","",""
,,,,,,,,,,
"=== CATEGORY LEGEND ===",,,,,,,,,,
"Category","Color","Keywords",,,,,,,,
"Resumes","Light Blue","resume, cv, curriculum",,,,,,,,
"Legal","Light Pink","contract, agreement, nda, terms, legal, compliance",,,,,,,,
"Financial","Light Green","invoice, budget, financial, tax, expense, revenue",,,,,,,,
"Marketing","Light Orange","pitch, deck, presentation, proposal, marketing",,,,,,,,
"Technical","Light Purple","spec, architecture, technical, api, code, github",,,,,,,,
"HR","Light Cyan","employee, onboarding, offer, policy, handbook",,,,,,,,
"Whitepapers","Light Yellow","whitepaper, research, thesis, manifesto",,,,,,,,
"Templates","Light Lime","template, form, checklist",,,,,,,,
"Personal","Light Gray","personal, notes, draft",,,,,,,,
,,,,,,,,,,
"=== BLACKROAD FOLDER STRUCTURE ===",,,,,,,,,,
"Parent","Subfolder","Path",,,,,,,,
"BlackRoad OS","Corporate","BlackRoad OS/Corporate/Formation",,,,,,,,
"BlackRoad OS","Corporate","BlackRoad OS/Corporate/Legal",,,,,,,,
"BlackRoad OS","Corporate","BlackRoad OS/Corporate/Tax",,,,,,,,
"BlackRoad OS","Corporate","BlackRoad OS/Corporate/Compliance",,,,,,,,
"BlackRoad OS","Finance","BlackRoad OS/Finance/Invoices",,,,,,,,
"BlackRoad OS","Finance","BlackRoad OS/Finance/Expenses",,,,,,,,
"BlackRoad OS","Finance","BlackRoad OS/Finance/Reports",,,,,,,,
"BlackRoad OS","HR","BlackRoad OS/HR/Recruiting",,,,,,,,
"BlackRoad OS","HR","BlackRoad OS/HR/Onboarding",,,,,,,,
"BlackRoad OS","HR","BlackRoad OS/HR/Policies",,,,,,,,
"BlackRoad OS","Engineering","BlackRoad OS/Engineering/Architecture",,,,,,,,
"BlackRoad OS","Engineering","BlackRoad OS/Engineering/Documentation",,,,,,,,
"BlackRoad OS","Engineering","BlackRoad OS/Engineering/Specs",,,,,,,,
"BlackRoad OS","Marketing","BlackRoad OS/Marketing/Pitch Decks",,,,,,,,
"BlackRoad OS","Marketing","BlackRoad OS/Marketing/Whitepapers",,,,,,,,
"BlackRoad OS","Marketing","BlackRoad OS/Marketing/Brand",,,,,,,,
"BlackRoad OS","Sales","BlackRoad OS/Sales/Proposals",,,,,,,,
"BlackRoad OS","Sales","BlackRoad OS/Sales/Contracts",,,,,,,,
"BlackRoad OS","Sales","BlackRoad OS/Sales/Pipeline",,,,,,,,
"BlackRoad OS","Products","BlackRoad OS/Products/Prism Console",,,,,,,,
"BlackRoad OS","Products","BlackRoad OS/Products/Agent Swarm",,,,,,,,
"BlackRoad OS","Products","BlackRoad OS/Products/Documentation",,,,,,,,
"BlackRoad OS","Templates","BlackRoad OS/Templates/Sheets",,,,,,,,
"BlackRoad OS","Templates","BlackRoad OS/Templates/Docs",,,,,,,,
"BlackRoad OS","Templates","BlackRoad OS/Templates/Slides",,,,,,,,
"BlackRoad OS","Archive","BlackRoad OS/Archive/2024",,,,,,,,
"BlackRoad OS","Archive","BlackRoad OS/Archive/2023",,,,,,,,
"BlackRoad OS","Personal","BlackRoad OS/Personal/Resumes",,,,,,,,
"BlackRoad OS","Personal","BlackRoad OS/Personal/Notes",,,,,,,,
