"BLACKROAD OS - INVENTORY MANAGEMENT WITH ALERTS",,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from inventory-management.gs",,,,,,,,,,
"Last Updated:","[AUTO]",,,,,,,,,"Total SKUs:","=COUNTA(A6:A)"
,,,,,,,,,,
"=== INVENTORY LIST ===",,,,,,,,,,
"SKU","Item Name","Category","Unit Cost","Sell Price","Qty On Hand","Reorder Point","Supplier","Location","Last Updated","Status"
"SKU-001","[Item Name]","[Category]","$0.00","$0.00","0","10","[Supplier]","[Location]","[Date]","=IF(F6<=G6,""⚠️ LOW"",""✅ OK"")"
"SKU-002","","","","","0","10","","","",""
"SKU-003","","","","","0","10","","","",""
"SKU-004","","","","","0","10","","","",""
"SKU-005","","","","","0","10","","","",""
,,,,,,,,,,
"=== SUMMARY ===",,,,,,,,,,
"Total SKUs:","=COUNTA(A6:A100)-1",,,,,,,,
"Total Value (Cost):","=SUMPRODUCT(D6:D100,F6:F100)",,,,,,,,
"Total Value (Retail):","=SUMPRODUCT(E6:E100,F6:F100)",,,,,,,,
"Items Below Reorder:","=COUNTIF(K6:K100,""⚠️ LOW"")",,,,,,,,
,,,,,,,,,,
"=== CATEGORIES ===",,,,,,,,,,
"Category","Item Count","Total Value",,,,,,,,
"Electronics","=COUNTIF(C6:C100,A22)","=SUMIF(C6:C100,A22,D6:D100)",,,,,,,,
"Office Supplies","=COUNTIF(C6:C100,A23)","=SUMIF(C6:C100,A23,D6:D100)",,,,,,,,
"Raw Materials","=COUNTIF(C6:C100,A24)","=SUMIF(C6:C100,A24,D6:D100)",,,,,,,,
"Finished Goods","=COUNTIF(C6:C100,A25)","=SUMIF(C6:C100,A25,D6:D100)",,,,,,,,
"Packaging","=COUNTIF(C6:C100,A26)","=SUMIF(C6:C100,A26,D6:D100)",,,,,,,,
