"BLACKROAD OS - INVOICE GENERATOR WITH MACROS",,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from invoice-generator.gs",,,,,,
,,,,,,
"=== COMPANY INFO (Edit These) ===",,,,,,
"Company Name:","[YOUR COMPANY NAME]",,,,,
"Address:","[YOUR ADDRESS]",,,,,
"City/State/ZIP:","[CITY, STATE ZIP]",,,,,
"Phone:","[PHONE]",,,,,
"Email:","[EMAIL]",,,,,
"Website:","[WEBSITE]",,,,,
"Tax ID:","[EIN/TAX ID]",,,,,
"Logo URL:","[GOOGLE DRIVE IMAGE URL]",,,,,
"Payment Terms:","Net 30",,,,,
"Late Fee %:","1.5",,,,,
,,,,,,
"=== INVOICE ===",,,,,,
"Invoice Number:","INV-0001","← Click 'Generate Invoice' button to auto-increment",,,,
"Invoice Date:","[AUTO-FILLED]",,,,,
"Due Date:","[AUTO-CALCULATED]",,,,,
"Status:","Draft","← Options: Draft, Sent, Paid, Overdue",,,,
,,,,,,
"=== BILL TO ===",,,,,,
"Client Name:","[CLIENT NAME]",,,,,
"Contact Person:","[CONTACT]",,,,,
"Address:","[ADDRESS]",,,,,
"City/State/ZIP:","[CITY, STATE ZIP]",,,,,
"Email:","[CLIENT EMAIL]",,,,,
"Phone:","[CLIENT PHONE]",,,,,
,,,,,,
"=== LINE ITEMS ===",,,,,,
"Item","Description","Quantity","Unit Price","Discount %","Tax %","Line Total"
"[Item 1]","[Description]","1","$0.00","0%","0%","=C34*D34*(1-E34)*(1+F34)"
"[Item 2]","[Description]","1","$0.00","0%","0%","=C35*D35*(1-E35)*(1+F35)"
"[Item 3]","[Description]","1","$0.00","0%","0%","=C36*D36*(1-E36)*(1+F36)"
"[Item 4]","[Description]","1","$0.00","0%","0%","=C37*D37*(1-E37)*(1+F37)"
"[Item 5]","[Description]","1","$0.00","0%","0%","=C38*D38*(1-E38)*(1+F38)"
,,,,,,
"=== TOTALS ===",,,,,,
"","","","","Subtotal:","","=SUM(G34:G38)"
"","","","","Discount:","","=SUMPRODUCT(C34:C38,D34:D38,E34:E38)"
"","","","","Tax:","","=SUMPRODUCT(C34:C38,D34:D38,(1-E34:E38),F34:F38)"
"","","","","TOTAL DUE:","","=G41-G42+G43"
,,,,,,
"=== NOTES ===",,,,,,
"Notes:","[Payment instructions, thank you message, etc.]",,,,,
"Terms:","[Terms and conditions]",,,,,
,,,,,,
"=== INVOICE HISTORY (Auto-populated by macro) ===",,,,,,
"Invoice #","Client","Date","Amount","Status","Sent Date","Paid Date"
"INV-0001","[Client]","[Date]","$0.00","Draft","",""
