"BLACKROAD OS - MEETING SCHEDULER WITH CALENDAR INTEGRATION",,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from meeting-scheduler.gs",,,,,,,,,,,,,,
"Total Meetings:","=COUNTA(A7:A500)","Scheduled:","=COUNTIF(K7:K500,""Scheduled"")","Completed:","=COUNTIF(K7:K500,""Completed"")","Total Hours:","=SUM(F7:F500)/60",,,,,,
"This Week:","=SUMPRODUCT((D7:D500>=TODAY())*(D7:D500<TODAY()+7))","Cancelled:","=COUNTIF(K7:K500,""Cancelled"")",,,,,,,,,,
,,,,,,,,,,,,,,
"=== MEETINGS ===",,,,,,,,,,,,,,
"Meeting ID","Title","Type","Date","Start Time","Duration (min)","End Time","Location","Attendees","Agenda","Status","Notes","Action Items","Created","Calendar Event ID"
"MTG-2024-0001","[Meeting Title]","1:1","[Date]","[Time]","30","[Time]","Zoom","[emails]","[Agenda items]","Scheduled","","","[Date]",""
"","","Team Meeting","","","45","","Conference Room A","","","Draft","","","",""
"","","All Hands","","","60","","Conference Room B","","","Completed","","","",""
"","","Client Call","","","90","","Google Meet","","","Cancelled","","","",""
"","","Interview","","","120","","Phone","","","","","","",""
"","","Training","","","","","","","","","","","",""
"","","Workshop","","","","","","","","","","","",""
"","","Board Meeting","","","","","","","","","","","",""
,,,,,,,,,,,,,,
"=== MEETING TEMPLATES ===",,,,,,,,,,,,,,
"Template","Type","Duration","Agenda",,,,,,,,,,
"1:1 Check-in","1:1","30","1. How are you doing? 2. What are you working on? 3. Any blockers? 4. Feedback needed",,,,,,,,,,
"Daily Standup","Team Meeting","15","1. Yesterday 2. Today 3. Blockers",,,,,,,,,,
"Sprint Planning","Team Meeting","120","1. Retrospective 2. Velocity review 3. Backlog grooming 4. Sprint commitment 5. Task breakdown",,,,,,,,,,
"Board Meeting","Board Meeting","120","1. Call to order 2. Previous minutes 3. Financial review 4. Operational update 5. New business 6. Adjournment",,,,,,,,,,
"Client Call","Client Call","60","1. Introductions 2. Project status 3. Deliverables review 4. Issues & risks 5. Next steps 6. Q&A",,,,,,,,,,
,,,,,,,,,,,,,,
"=== MEETING ROOMS ===",,,,,,,,,,,,,,
"Room","Capacity","Equipment",,,,,,,,,,,,
"Conference Room A","10","TV, Whiteboard, Video Conference",,,,,,,,,,,,
"Conference Room B","6","TV, Whiteboard",,,,,,,,,,,,
"Zoom","Unlimited","Virtual",,,,,,,,,,,,
"Google Meet","Unlimited","Virtual",,,,,,,,,,,,
"Phone","2","Audio only",,,,,,,,,,,,
,,,,,,,,,,,,,,
"=== MEETING COST CALCULATOR ===",,,,,,,,,,,,,,
"Attendees:","6","Duration (min):","30","Hourly Rate:","$75",,,,,,,,,
"Total Cost:","=B35*D35/60*F35","Per Minute:","=G36/D35",,,,,,,,,,,
