"BLACKROAD OS - TIME TRACKING WITH PAYROLL",,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from time-tracking.gs",,,,,,,,
"Pay Period:","[AUTO-CALCULATED]",,"Weekly Hours Threshold:","40",,,,
"Last Updated:","[AUTO]",,"Daily Hours Threshold:","8",,,,
,,,,,,,,
"=== TIME ENTRIES ===",,,,,,,,
"Employee ID","Name","Date","Clock In","Clock Out","Break (min)","Total Hours","OT Hours","Status"
"EMP001","[Name]","[Date]","[Time]","[Time]","30","=IF(E8<>"""",((E8-D8)*24)-(F8/60),"""")","=IF(G8>8,G8-8,0)","Pending"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
,,,,,,,,
"=== WEEKLY SUMMARY (Auto-calculated) ===",,,,,,,,
"Employee","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Total"
"[Employee 1]","","","","","","","","=SUM(B17:H17)"
"[Employee 2]","","","","","","","","=SUM(B18:H18)"
,,,,,,,,
"=== OVERTIME RULES ===",,,,,,,,
"• Weekly overtime: Hours over 40 per week = 1.5x pay",,,,,,,,
"• Daily overtime: Hours over 8 per day = 1.5x pay",,,,,,,,
"• Double time: Hours over 12 per day = 2x pay",,,,,,,,
,,,,,,,,
"=== STATUS OPTIONS ===",,,,,,,,
"Pending","Awaiting approval",,,,,,,
"Approved","Manager approved - ready for payroll",,,,,,,
"Manual - [Note]","Manually entered with reason",,,,,,,
